SYNTHETIC DATA — NOT A CUSTOMER EXPORT
Date/time,Transaction ID,SKU,Item,Qty,Unit price,Discount,Net item sales,Allocated fee,Tender,Consignor ID,Consignor,Share %,Disposition,Note
2026-08-03 10:14,SQ-1001,AA-101,Linen tote,1,38,0,38,1.16,Card,C001,Alder & Ash,0.6,Included,
2026-08-03 10:14,SQ-1001,BF-205,Stoneware mug,1,32,0,32,0.98,Card,C002,Blue Finch Studio,0.6,Included,Shared basket SQ-1001
2026-08-04 13:02,SQ-1002,CT-044,Woven scarf,1,64,6.4,57.6,1.76,Card,C003,Cedar Thread,0.6,Included,10% line discount
2026-08-05 11:41,SQ-1003,DC-018,Speckled bowl,2,28,0,56,1.71,Card,C004,Dune Ceramics,0.6,Included,
2026-08-06 15:18,SQ-1004,EP-330,Botanical card set,1,18,0,18,0.55,Card,C005,Elm Paper Co.,0.6,Included,
2026-08-07 12:07,SQ-1005,FG-077,Leather key loop,2,24,0,48,1.47,Card,C006,Foxglove Goods,0.7,Included,
2026-08-08 16:33,SQ-1006,GH-009,Sun-catcher,1,45,5,40,1.22,Card,C007,Golden Hour Glass,0.7,Included,$5 line discount
2026-08-09 10:28,SQ-1007,HL-412,Hand towel,3,16,0,48,1.47,Card,C008,Harbor Loom,0.7,Included,
2026-08-10 14:55,SQ-1008,IN-222,Indigo bandana,1,27,0,27,0,Cash,C009,Indigo North,0.7,Included,
2026-08-11 12:12,SQ-1009,JM-031,Brass earrings,1,52,0,52,1.59,Card,C010,Juniper Metalworks,0.7,Included,
2026-08-14 09:47,SQ-1010,AA-104,Canvas pouch,2,22,4,40,1.22,Card,C001,Alder & Ash,0.6,Included,$4 order discount allocated to line
2026-08-15 17:21,SQ-1011,FG-080,Leather card case,1,36,0,36,1.1,Card,C006,Foxglove Goods,0.7,Included,
2026-08-16 11:05,SQ-1012,DC-018,Speckled bowl,-1,28,0,-28,-0.86,Card,C004,Dune Ceramics,0.6,Included,Refund of one unit from SQ-1003
2026-08-19 13:36,SQ-1013,EP-335,Mini print,2,14,0,28,0.86,Card,C005,Elm Paper Co.,0.6,Included,
2026-08-20 15:44,SQ-1014,GH-011,Glass bud vase,1,58,0,58,1.77,Card,C007,Golden Hour Glass,0.7,Included,
2026-08-22 10:19,SQ-1015,HL-418,Table runner,1,72,0,72,2.2,Card,C008,Harbor Loom,0.7,Included,
2026-08-24 16:03,SQ-1016,MISC-001,Unmapped candle,1,21,0,21,0.64,Card,,,0,Exception,No consignor mapping; excluded from payouts
2026-08-27 12:58,SQ-1017,JM-034,Hammered cuff,1,68,8,60,1.84,Card,C010,Juniper Metalworks,0.7,Included,$8 line discount
